date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:15:57	273/273	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Jul%202026%2013:15:56%20GMT	https://techzaa.in/robots.txt		(from )
15:15:57	89541/89541	U--M-Z	200	updated ('OK')	text/html	etag:%2215dc5-6532f0e4b9ae6-gzip%22	https://techzaa.in/rasket/admin/index.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/index.html	(from )
15:15:58	128257/128257	U--M-Z	200	updated ('OK')	text/css	etag:%221f501-623282c0c3903-gzip%22	https://techzaa.in/rasket/admin/assets/css/vendor.min.css	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/assets/css/vendor.min.css	(from https://techzaa.in/rasket/admin/index.html)
15:15:59	68227/68227	U--M-Z	200	updated ('OK')	text/css	etag:%2210a83-623282c0c3903-gzip%22	https://techzaa.in/rasket/admin/assets/css/icons.min.css	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/assets/css/icons.min.css	(from https://techzaa.in/rasket/admin/index.html)
15:16:00	429450/429450	U--M-Z	200	updated ('OK')	text/css	etag:%2268d8a-6532f0e4adf64-gzip%22	https://techzaa.in/rasket/admin/assets/css/app.min.css	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/assets/css/app.min.css	(from https://techzaa.in/rasket/admin/index.html)
15:16:02	103968/103968	U-----	200	untouched ('')	image/vnd.microsoft.icon	etag:%2219620-623282c0c7783%22	https://techzaa.in/rasket/admin/assets/images/favicon.ico	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/assets/images/favicon.ico	(from https://techzaa.in/rasket/admin/index.html)
15:16:03	942/942	U--M-Z	200	updated ('OK')	text/javascript	etag:%223ae-623282c0d13c4-gzip%22	https://techzaa.in/rasket/admin/assets/js/config.min.js	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/assets/js/config.min.js	(from https://techzaa.in/rasket/admin/index.html)
15:16:05	17336/17336	U-----	200	untouched ('')	image/jpeg	etag:%2243b8-623282c0cb603%22	https://techzaa.in/rasket/admin/assets/images/users/avatar-1.jpg	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/assets/images/users/avatar-1.jpg	(from https://techzaa.in/rasket/admin/index.html)
15:16:05	18485/18485	U-----	200	untouched ('')	image/jpeg	etag:%224835-623282c0cb603%22	https://techzaa.in/rasket/admin/assets/images/users/avatar-3.jpg	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/assets/images/users/avatar-3.jpg	(from https://techzaa.in/rasket/admin/index.html)
15:16:05	178418/178418	U--M-Z	200	updated ('OK')	text/html	etag:%222b8f2-6532f0e4aa0e3-gzip%22	https://techzaa.in/rasket/admin/apps-chat.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/apps-chat.html	(from https://techzaa.in/rasket/admin/index.html)
